state_code,district_code,district_name,area_type,age_group,total_population,total_males,total_females,illiterate_population,illiterate_males,illiterate_females,literate_population,literate_males,literate_females
13,261,mon,Total,All ages,250260,131753,118507,130634,64321,66313,119626,67432,52194
13,261,mon,Total,0-6,40342,21099,19243,40342,21099,19243,0,0,0
13,261,mon,Total,7,6459,3448,3011,3539,1879,1660,2920,1569,1351
13,261,mon,Total,8,6528,3390,3138,2795,1431,1364,3733,1959,1774
13,261,mon,Total,9,6213,3246,2967,2376,1237,1139,3837,2009,1828
13,261,mon,Total,10,7761,4155,3606,2717,1414,1303,5044,2741,2303
13,261,mon,Total,11,6655,3546,3109,2040,1080,960,4615,2466,2149
13,261,mon,Total,12,6940,3739,3201,1921,1010,911,5019,2729,2290
13,261,mon,Total,13,6401,3429,2972,1692,870,822,4709,2559,2150
13,261,mon,Total,14,6202,3293,2909,1674,903,771,4528,2390,2138
13,261,mon,Total,15,7341,3890,3451,2035,1060,975,5306,2830,2476
13,261,mon,Total,16,6614,3446,3168,1825,923,902,4789,2523,2266
13,261,mon,Total,17,5779,2974,2805,1597,798,799,4182,2176,2006
13,261,mon,Total,18,6966,3587,3379,2135,1077,1058,4831,2510,2321
13,261,mon,Total,19,5135,2675,2460,1634,826,808,3501,1849,1652
13,261,mon,Total,20-24,24987,13209,11778,8482,4270,4212,16505,8939,7566
13,261,mon,Total,25-29,18450,9582,8868,6819,3186,3633,11631,6396,5235
13,261,mon,Total,30-34,14790,7609,7181,5985,2637,3348,8805,4972,3833
13,261,mon,Total,35-39,13854,6895,6959,6336,2565,3771,7518,4330,3188
13,261,mon,Total,40-44,13374,6870,6504,7089,2921,4168,6285,3949,2336
13,261,mon,Total,45-49,11582,6217,5365,6883,2973,3910,4699,3244,1455
13,261,mon,Total,50-54,8924,5039,3885,5951,2843,3108,2973,2196,777
13,261,mon,Total,55-59,5695,3168,2527,4151,2004,2147,1544,1164,380
13,261,mon,Total,60-64,4790,2665,2125,3719,1854,1865,1071,811,260
13,261,mon,Total,65-69,3110,1671,1439,2447,1187,1260,663,484,179
13,261,mon,Total,70-74,2275,1249,1026,1938,1003,935,337,246,91
13,261,mon,Total,75-79,1154,629,525,1016,519,497,138,110,28
13,261,mon,Total,80+,1489,790,699,1269,640,629,220,150,70
13,261,mon,Total,Age not stated,450,243,207,227,112,115,223,131,92
13,261,mon,Rural,All ages,215816,113469,102347,120885,59531,61354,94931,53938,40993
13,261,mon,Rural,0-6,35132,18407,16725,35132,18407,16725,0,0,0
13,261,mon,Rural,7,5588,2979,2609,3275,1730,1545,2313,1249,1064
13,261,mon,Rural,8,5722,2960,2762,2649,1349,1300,3073,1611,1462
13,261,mon,Rural,9,5372,2791,2581,2255,1168,1087,3117,1623,1494
13,261,mon,Rural,10,6770,3632,3138,2578,1348,1230,4192,2284,1908
13,261,mon,Rural,11,5736,3061,2675,1957,1034,923,3779,2027,1752
13,261,mon,Rural,12,6000,3215,2785,1847,967,880,4153,2248,1905
13,261,mon,Rural,13,5437,2934,2503,1634,838,796,3803,2096,1707
13,261,mon,Rural,14,5198,2777,2421,1612,860,752,3586,1917,1669
13,261,mon,Rural,15,6381,3410,2971,1976,1029,947,4405,2381,2024
13,261,mon,Rural,16,5631,2939,2692,1768,891,877,3863,2048,1815
13,261,mon,Rural,17,4869,2523,2346,1549,771,778,3320,1752,1568
13,261,mon,Rural,18,6016,3106,2910,2053,1030,1023,3963,2076,1887
13,261,mon,Rural,19,4348,2289,2059,1571,793,778,2777,1496,1281
13,261,mon,Rural,20-24,21279,11325,9954,8109,4102,4007,13170,7223,5947
13,261,mon,Rural,25-29,15274,7948,7326,6375,3004,3371,8899,4944,3955
13,261,mon,Rural,30-34,12239,6286,5953,5599,2457,3142,6640,3829,2811
13,261,mon,Rural,35-39,11665,5709,5956,5933,2386,3547,5732,3323,2409
13,261,mon,Rural,40-44,11542,5826,5716,6712,2779,3933,4830,3047,1783
13,261,mon,Rural,45-49,10248,5395,4853,6546,2840,3706,3702,2555,1147
13,261,mon,Rural,50-54,7978,4431,3547,5658,2708,2950,2320,1723,597
13,261,mon,Rural,55-59,5168,2852,2316,3968,1925,2043,1200,927,273
13,261,mon,Rural,60-64,4370,2416,1954,3536,1762,1774,834,654,180
13,261,mon,Rural,65-69,2854,1527,1327,2343,1145,1198,511,382,129
13,261,mon,Rural,70-74,2133,1182,951,1861,981,880,272,201,71
13,261,mon,Rural,75-79,1068,581,487,961,495,466,107,86,21
13,261,mon,Rural,80+,1375,739,636,1209,625,584,166,114,52
13,261,mon,Rural,Age not stated,423,229,194,219,107,112,204,122,82
13,261,mon,Urban,All ages,34444,18284,16160,9749,4790,4959,24695,13494,11201
13,261,mon,Urban,0-6,5210,2692,2518,5210,2692,2518,0,0,0
13,261,mon,Urban,7,871,469,402,264,149,115,607,320,287
13,261,mon,Urban,8,806,430,376,146,82,64,660,348,312
13,261,mon,Urban,9,841,455,386,121,69,52,720,386,334
13,261,mon,Urban,10,991,523,468,139,66,73,852,457,395
13,261,mon,Urban,11,919,485,434,83,46,37,836,439,397
13,261,mon,Urban,12,940,524,416,74,43,31,866,481,385
13,261,mon,Urban,13,964,495,469,58,32,26,906,463,443
13,261,mon,Urban,14,1004,516,488,62,43,19,942,473,469
13,261,mon,Urban,15,960,480,480,59,31,28,901,449,452
13,261,mon,Urban,16,983,507,476,57,32,25,926,475,451
13,261,mon,Urban,17,910,451,459,48,27,21,862,424,438
13,261,mon,Urban,18,950,481,469,82,47,35,868,434,434
13,261,mon,Urban,19,787,386,401,63,33,30,724,353,371
13,261,mon,Urban,20-24,3708,1884,1824,373,168,205,3335,1716,1619
13,261,mon,Urban,25-29,3176,1634,1542,444,182,262,2732,1452,1280
13,261,mon,Urban,30-34,2551,1323,1228,386,180,206,2165,1143,1022
13,261,mon,Urban,35-39,2189,1186,1003,403,179,224,1786,1007,779
13,261,mon,Urban,40-44,1832,1044,788,377,142,235,1455,902,553
13,261,mon,Urban,45-49,1334,822,512,337,133,204,997,689,308
13,261,mon,Urban,50-54,946,608,338,293,135,158,653,473,180
13,261,mon,Urban,55-59,527,316,211,183,79,104,344,237,107
13,261,mon,Urban,60-64,420,249,171,183,92,91,237,157,80
13,261,mon,Urban,65-69,256,144,112,104,42,62,152,102,50
13,261,mon,Urban,70-74,142,67,75,77,22,55,65,45,20
13,261,mon,Urban,75-79,86,48,38,55,24,31,31,24,7
13,261,mon,Urban,80+,114,51,63,60,15,45,54,36,18
13,261,mon,Urban,Age not stated,27,14,13,8,5,3,19,9,10
13,262,mokokchung,Total,All ages,194622,101092,93530,35128,17613,17515,159494,83479,76015
13,262,mokokchung,Total,0-6,20536,10534,10002,20536,10534,10002,0,0,0
13,262,mokokchung,Total,7,3680,1924,1756,874,469,405,2806,1455,1351
13,262,mokokchung,Total,8,3762,1904,1858,441,220,221,3321,1684,1637
13,262,mokokchung,Total,9,3651,1902,1749,311,163,148,3340,1739,1601
13,262,mokokchung,Total,10,4536,2400,2136,379,195,184,4157,2205,1952
13,262,mokokchung,Total,11,4245,2224,2021,207,119,88,4038,2105,1933
13,262,mokokchung,Total,12,4530,2339,2191,186,104,82,4344,2235,2109
13,262,mokokchung,Total,13,4492,2452,2040,174,103,71,4318,2349,1969
13,262,mokokchung,Total,14,4480,2334,2146,169,103,66,4311,2231,2080
13,262,mokokchung,Total,15,4587,2514,2073,152,85,67,4435,2429,2006
13,262,mokokchung,Total,16,4530,2350,2180,155,95,60,4375,2255,2120
13,262,mokokchung,Total,17,4011,2090,1921,140,88,52,3871,2002,1869
13,262,mokokchung,Total,18,4302,2290,2012,194,132,62,4108,2158,1950
13,262,mokokchung,Total,19,3552,1840,1712,146,96,50,3406,1744,1662
13,262,mokokchung,Total,20-24,18975,9925,9050,896,489,407,18079,9436,8643
13,262,mokokchung,Total,25-29,17374,8895,8479,886,483,403,16488,8412,8076
13,262,mokokchung,Total,30-34,16157,8208,7949,772,417,355,15385,7791,7594
13,262,mokokchung,Total,35-39,14063,7092,6971,872,471,401,13191,6621,6570
13,262,mokokchung,Total,40-44,12399,6416,5983,853,463,390,11546,5953,5593
13,262,mokokchung,Total,45-49,10234,5522,4712,843,444,399,9391,5078,4313
13,262,mokokchung,Total,50-54,8089,4354,3735,787,393,394,7302,3961,3341
13,262,mokokchung,Total,55-59,5785,3092,2693,679,287,392,5106,2805,2301
13,262,mokokchung,Total,60-64,4980,2573,2407,797,298,499,4183,2275,1908
